domain,detection_level,device,grouped_domain,domain_id,port
a4k.amazon.co.uk.,firetv_cat,firetv,a4k.amazon.co.uk.,0,443
a4k.amazon.com.,firetv_cat,firetv,a4k.amazon.com.,1,443
aax-eu.amazon-adsystem.com.,firetv_cat,firetv,aax-eu.amazon-adsystem.com.,2,443
aax-eu.amazon-adsystem.com.,firetv_cat,firetv,aax-eu.amazon-adsystem.com.,2,80
aax-us-east.amazon-adsystem.com.,firetv_cat,firetv,aax-us-east.amazon-adsystem.com.,3,80
aca-livecards-service-eu.amazon.com.,firetv_cat,firetv,aca-livecards-service-eu.amazon.com.,4,443
ags-ext.amazon.com.,firetv_cat,firetv,ags-ext.amazon.com.,5,443
alexa.amazon.co.uk.,echo_cat,echospot,alexa.amazon.co.uk.,6,443
alexa.amazon.com.,echo_cat,echospot,alexa.amazon.com.,7,443
andr-22-aftt-0.api.amazonvideo.com.,firetv_cat,firetv,andr-22-aftt-0.api.amazonvideo.com.,8,443
api.amazon.co.uk.,echo_cat,echodot,api.amazon.co.uk.,9,443
api.amazon.co.uk.,echo_cat,echospot,api.amazon.co.uk.,9,443
api.amazon.co.uk.,firetv_cat,firetv,api.amazon.co.uk.,9,443
api.amazon.com.,echo_cat,allure-speaker,api.amazon.com.,10,443
api.amazon.com.,echo_cat,echodot,api.amazon.com.,10,443
api.amazon.com.,echo_cat,echoplus,api.amazon.com.,10,443
api.amazon.com.,echo_cat,echospot,api.amazon.com.,10,443
api.amazon.com.,firetv_cat,firetv,api.amazon.com.,10,443
api.amazonalexa.com.,echo_cat,allure-speaker,api.amazonalexa.com.,11,443
api.amazonalexa.com.,echo_cat,echodot,api.amazonalexa.com.,11,443
api.amazonalexa.com.,echo_cat,echoplus,api.amazonalexa.com.,11,443
api.amazonalexa.com.,echo_cat,echospot,api.amazonalexa.com.,11,443
api.amazonalexa.com.,firetv_cat,firetv,api.amazonalexa.com.,11,443
api.eu.amazonalexa.com.,echo_cat,echodot,api.eu.amazonalexa.com.,12,443
api.eu.amazonalexa.com.,echo_cat,echoplus,api.eu.amazonalexa.com.,12,443
api.eu.amazonalexa.com.,echo_cat,echospot,api.eu.amazonalexa.com.,12,443
api.eu.amazonalexa.com.,firetv_cat,firetv,api.eu.amazonalexa.com.,12,443
appstore-tv-prod-eu.amazon.com.,firetv_cat,firetv,appstore-tv-prod-eu.amazon.com.,13,443
appstore-tv-prod-na.amazon.com.,firetv_cat,firetv,appstore-tv-prod-na.amazon.com.,14,443
arcus-uswest.amazon.com.,echo_cat,echodot,arcus-uswest.amazon.com.,15,443
arcus-uswest.amazon.com.,echo_cat,echoplus,arcus-uswest.amazon.com.,15,443
arcus-uswest.amazon.com.,echo_cat,echospot,arcus-uswest.amazon.com.,15,443
arcus-uswest.amazon.com.,firetv_cat,firetv,arcus-uswest.amazon.com.,15,443
aviary.amazon.com.,firetv_cat,firetv,aviary.amazon.com.,16,443
aviary.amazon.de.,firetv_cat,firetv,aviary.amazon.de.,17,443
avs-alexa-18-eu.amazon.com.,firetv_cat,firetv,new_domain_1,54,443
avs-alexa-18-na.amazon.com.,firetv_cat,firetv,new_domain_2,55,443
avs-alexa-18-na.amazon.com.,firetv_cat,firetv,new_domain_2,55,80
avs-alexa-4-eu.amazon.com.,echo_cat,echodot,new_domain_1,54,443
avs-alexa-4-eu.amazon.com.,echo_cat,echoplus,new_domain_1,54,443
avs-alexa-4-na.amazon.com.,echo_cat,echoplus,new_domain_2,55,443
avs-alexa-4-na.amazon.com.,echo_cat,echoplus,new_domain_2,55,80
avs-alexa-5-eu.amazon.com.,echo_cat,echospot,new_domain_1,54,443
avs-alexa-5-na.amazon.com.,echo_cat,echospot,new_domain_2,55,443
avs-alexa-5-na.amazon.com.,echo_cat,echospot,new_domain_2,55,80
avs-alexa-eu.amazon.com.,echo_cat,allure-speaker,new_domain_1,54,443
avs-alexa-na.amazon.com.,echo_cat,allure-speaker,new_domain_2,55,443
avs-alexa-na.amazon.com.,echo_cat,allure-speaker,new_domain_2,55,80
cdws.eu-west-1.amazonaws.com.,firetv_cat,firetv,cdws.eu-west-1.amazonaws.com.,18,443
cdws.us-east-1.amazonaws.com.,firetv_cat,firetv,new_domain_3,56,443
cognito-identity.eu-west-1.amazonaws.com.,firetv_cat,firetv,cognito-identity.eu-west-1.amazonaws.com.,19,443
cognito-identity.us-east-1.amazonaws.com.,echo_cat,echospot,cognito-identity.us-east-1.amazonaws.com.,20,443
cognito-identity.us-east-1.amazonaws.com.,firetv_cat,firetv,cognito-identity.us-east-1.amazonaws.com.,20,443
cortana-gateway.amazon.com.,firetv_cat,firetv,cortana-gateway.amazon.com.,21,443
dcape-na.amazon.com.,echo_cat,echodot,dcape-na.amazon.com.,22,443
dcape-na.amazon.com.,echo_cat,echoplus,dcape-na.amazon.com.,22,443
dcape-na.amazon.com.,echo_cat,echospot,dcape-na.amazon.com.,22,443
dcape-na.amazon.com.,firetv_cat,firetv,dcape-na.amazon.com.,22,443
det-ta-g7g.amazon.com.,echo_cat,echodot,det-ta-g7g.amazon.com.,23,443
det-ta-g7g.amazon.com.,echo_cat,echoplus,det-ta-g7g.amazon.com.,23,443
