domain,detection_level,device,grouped_domain,domain_id,port
11-devaccess.myzmodo.com.,zmodo-doorbell,zmodo-doorbell,11-devaccess.myzmodo.com.,96,443.0
12-alertsfile.myzmodo.com.,zmodo-doorbell,zmodo-doorbell,12-alertsfile.myzmodo.com.,100,443.0
12-devaccess.myzmodo.com.,zmodo-doorbell,zmodo-doorbell,12-devaccess.myzmodo.com.,95,443.0
13-devaccess.myzmodo.com.,zmodo-doorbell,zmodo-doorbell,13-devaccess.myzmodo.com.,97,443.0
14-devaccess.myzmodo.com.,zmodo-doorbell,zmodo-doorbell,14-devaccess.myzmodo.com.,94,443.0
21-alertsfile.myzmodo.com.,zmodo-doorbell,zmodo-doorbell,21-alertsfile.myzmodo.com.,99,443.0
22-alertsfile.myzmodo.com.,zmodo-doorbell,zmodo-doorbell,22-alertsfile.myzmodo.com.,98,443.0
a3.tuyaus.com.,smartlife_cat,smartlife-bulb,a3.tuyaus.com.,62,443.0
a3.tuyaus.com.,smartlife_cat,smartlife-remote,a3.tuyaus.com.,62,443.0
ak.myappkettle.com.,appkettle,appkettle,ak.myappkettle.com.,7,443.0
ak.myappkettle.com.,appkettle,appkettle,ak.myappkettle.com.,7,80.0
amarillo.sw.roku.com.,roku-tv,roku-tv,new_domain_3,50,443.0
amcrestview.com.,amcrest-cam-wired,amcrest-cam-wired,amcrestview.com.,4,12366.0
api.eu.xiaoyi.com.,yi-camera,yi-camera,api.eu.xiaoyi.com.,91,443.0
api.eu.xiaoyi.com.,yi-camera,yi-camera,api.eu.xiaoyi.com.,91,80.0
api.gdxp.com.,icsee-doorbell,icsee-doorbell,api.gdxp.com.,24,8100.0
api.roku.com.,roku-tv,roku-tv,api.roku.com.,55,443.0
api.rokutime.com.,roku-tv,roku-tv,api.rokutime.com.,45,443.0
api.smartthings.com.,smartthings_cat,smartthings-hub,api.smartthings.com.,67,443.0
api.smartthings.com.,smartthings_cat,t-smartthings-hub,api.smartthings.com.,67,443.0
api.sr.roku.com.,roku-tv,roku-tv,api.sr.roku.com.,54,443.0
api.us.xiaoyi.com.,yi-camera,yi-camera,api.us.xiaoyi.com.,92,443.0
api.us.xiaoyi.com.,yi-camera,yi-camera,api.us.xiaoyi.com.,92,80.0
a.tuyaeu.com.,smartlife_cat,smartlife-bulb,a.tuyaeu.com.,63,80.0
a.tuyaeu.com.,smartlife_cat,smartlife-remote,a.tuyaeu.com.,63,80.0
a.tuyaus.com.,bulb1,bulb1,a.tuyaus.com.,14,80.0
