domain,detection_level,device,grouped_domain,domain_id,port
*.transport.home.nest.com.,nest-tstat,nest-tstat,*.transport.home.nest.com.,0,9543
acr-eu-prd.internetat.tv.,samsungtv-wired,samsungtv-wired,acr-eu-prd.internetat.tv.,1,443
acr0.samsungcloudsolution.com.,samsungtv-wired,samsungtv-wired,acr0.samsungcloudsolution.com.,2,443
api.cspserver.net.,dryer,dryer,api.cspserver.net.,3,443
api.samsungcloud.com.,fridge,fridge,api.samsungcloud.com.,4,443
api.samsungcloud.com.,samsungtv-wired,samsungtv-wired,api.samsungcloud.com.,4,443
apu.samsungelectronics.com.,samsungtv-wired,samsungtv-wired,apu.samsungelectronics.com.,5,443
bpu.samsungelectronics.com.,samsungtv-wired,samsungtv-wired,bpu.samsungelectronics.com.,6,443
configprd.samsungcloudsolution.net.,fridge,fridge,configprd.samsungcloudsolution.net.,7,443
configprd.samsungcloudsolution.net.,samsungtv-wired,samsungtv-wired,configprd.samsungcloudsolution.net.,7,443
conn.samsungcloud.com.,dryer,dryer,conn.samsungcloud.com.,8,5683
cpu.samsungelectronics.com.,samsungtv-wired,samsungtv-wired,new_domain_2,22,443
dpu.samsungelectronics.com.,samsungtv-wired,samsungtv-wired,dpu.samsungelectronics.com.,9,443
frontdoor.nest.com.,nest-tstat,nest-tstat,frontdoor.nest.com.,10,443
gld.push.samsungosp.com.,samsungtv-wired,samsungtv-wired,gld.push.samsungosp.com.,11,5223
gpm.samsungqbe.com.,samsungtv-wired,samsungtv-wired,gpm.samsungqbe.com.,12,443
info.cspserver.net.,dryer,dryer,info.cspserver.net.,13,80
info.cspserver.net.,fridge,fridge,info.cspserver.net.,13,80
ipv4.connman.net.,fridge,fridge,ipv4.connman.net.,14,80
kpu.samsungelectronics.com.,samsungtv-wired,samsungtv-wired,kpu.samsungelectronics.com.,15,443
lcprd1.samsungcloudsolution.net.,fridge,fridge,lcprd1.samsungcloudsolution.net.,16,443
lcprd1.samsungcloudsolution.net.,samsungtv-wired,samsungtv-wired,lcprd1.samsungcloudsolution.net.,16,443
log-config.samsungacr.com.,samsungtv-wired,samsungtv-wired,log-config.samsungacr.com.,17,443
log-ingestion-eu.samsungacr.com.,samsungtv-wired,samsungtv-wired,log-ingestion-eu.samsungacr.com.,18,443
log.samsunghrm.com.,fridge,fridge,log.samsunghrm.com.,19,443
logsink.devices.nest.com.,nest-tstat,nest-tstat,logsink.devices.nest.com.,20,443
notice.samsungcloudsolution.com.,samsungtv-wired,samsungtv-wired,notice.samsungcloudsolution.com.,23,443
oauth.ring.com.,fridge,fridge,oauth.ring.com.,24,443
ocfconnect-shard-na03-useast2.samsungiotcloud.com.,fridge,fridge,ocfconnect-shard-na03-useast2.samsungiotcloud.com.,25,443
ontprd10.samsungcloudsolution.net.,fridge,fridge,ontprd10.samsungcloudsolution.net.,26,443
ontprd10.samsungcloudsolution.net.,samsungtv-wired,samsungtv-wired,ontprd10.samsungcloudsolution.net.,26,443
osb-apps.samsungqbe.com.,samsungtv-wired,samsungtv-wired,osb-apps.samsungqbe.com.,27,443
osb-eusvc.samsungqbe.com.,samsungtv-wired,samsungtv-wired,new_domain_1,21,443
osb.samsungqbe.com.,samsungtv-wired,samsungtv-wired,new_domain_1,21,443
prd-use2-pdss-sync.aibixby.com.,fridge,fridge,prd-use2-pdss-sync.aibixby.com.,28,443
prd-use2-user.aibixby.com.,fridge,fridge,prd-use2-user.aibixby.com.,29,443
qoe.samsungcloud.tv.,samsungtv-wired,samsungtv-wired,qoe.samsungcloud.tv.,30,443
sas.samsungcloudsolution.com.,samsungtv-wired,samsungtv-wired,sas.samsungcloudsolution.com.,31,443
shome.sca.samsung.com.,dryer,dryer,shome.sca.samsung.com.,32,443
time.samsungcloudsolution.com.,samsungtv-wired,samsungtv-wired,time.samsungcloudsolution.com.,33,443
time.samsungcloudsolution.com.,samsungtv-wired,samsungtv-wired,time.samsungcloudsolution.com.,33,80
uimetadata.samsungiotcloud.com.,fridge,fridge,uimetadata.samsungiotcloud.com.,34,443
us-fhapi.cspserver.net.,fridge,fridge,us-fhapi.cspserver.net.,35,443
weather.nest.com.,nest-tstat,nest-tstat,weather.nest.com.,36,443
www.samsungotn.net.,dryer,dryer,www.samsungotn.net.,37,443
www.samsungotn.net.,dryer,dryer,www.samsungotn.net.,37,80
www.samsungotn.net.,fridge,fridge,www.samsungotn.net.,37,443
www.samsungotn.net.,fridge,fridge,www.samsungotn.net.,37,80
www.samsungotn.net.,samsungtv-wired,samsungtv-wired,www.samsungotn.net.,37,443
www.samsungotn.net.,samsungtv-wired,samsungtv-wired,www.samsungotn.net.,37,80
xpu.samsungelectronics.com.,samsungtv-wired,samsungtv-wired,new_domain_2,22,443
zpu.samsungelectronics.com.,samsungtv-wired,samsungtv-wired,zpu.samsungelectronics.com.,38,443
